tweet_id, tweet_time, tweet_author, tweet_author_id,    tweet_language, tweet_geo, tweet_text
624530164626534400,Fri Jul 24 10:42:49 +0000 2015,yuwraxkim,3078803375,en,,hopeless for tmr :(
624530162890219521,Fri Jul 24 10:42:48 +0000 2015,EveHollyHousley,383849833,en,,Everything in the kids section of IKEA is so cute. Shame I'm nearly 19 in 2 months :(
624530162600812544,Fri Jul 24 10:42:48 +0000 2015,prostgrad,486942332,en,,@Hegelbon That heart sliding into the waste basket. :(
624530161011048448,Fri Jul 24 10:42:48 +0000 2015,burningyoppy,359645394,en,,"“@ketchBurning: I hate Japanese call him ""bani"" :( :(”

Me too"
624530159928934400,Fri Jul 24 10:42:47 +0000 2015,3angiefalangie,490280208,en,,"Dang starting next week I have ""work"" :("
624530159593394176,Fri Jul 24 10:42:47 +0000 2015,samfel26,368668725,en,,"oh god, my babies' faces :( https://t.co/9fcwGvaki0"
624530150034571264,Fri Jul 24 10:42:45 +0000 2015,Cristalyaa_,945650316,en,,@RileyMcDonough make me smile :((
624530148726022144,Fri Jul 24 10:42:45 +0000 2015,busjharv,270908788,en,,@f0ggstar @stuartthull work neighbour on motors. Asked why and he said hates the updates on search :( http://t.co/XvmTUikWln
624530148671381504,Fri Jul 24 10:42:45 +0000 2015,Aditeajones,2256003218,en,,"why?:(""@tahuodyy: sialan:( https://t.co/Hv1i0xcrL2"""
624530147102838784,Fri Jul 24 10:42:44 +0000 2015,instatagcanada,2752279284,en,,Athabasca glacier was there in #1948 :-( #athabasca #glacier #jasper #jaspernationalpark #alberta #explorealberta #… http://t.co/dZZdqmf7Cz
624530143613165568,Fri Jul 24 10:42:44 +0000 2015,lowerthancon,537395392,en,,I have a really good m&amp;g idea but I'm never going to meet them :(((
624530143403491328,Fri Jul 24 10:42:44 +0000 2015,v1zness,1566395436,en,,@Rampageinthebox mare ivan :(
624530143046860800,Fri Jul 24 10:42:43 +0000 2015,keastaana_,2168534736,en,,"@SophiaMascardo happy trip, keep safe. see you soon :* :("
624530139137880064,Fri Jul 24 10:42:43 +0000 2015,alainabatman,451618557,en,,I'm so tired hahahah :(
624530137464315904,Fri Jul 24 10:42:42 +0000 2015,NoKnees62,2761192037,en,,@GrumpyCockney With knee replacements they get you up &amp; about the same day. :-(   Ouch.
624530131344756737,Fri Jul 24 10:42:41 +0000 2015,MadhuNimeshika,3012600764,en,,"relate to the ""sweet n' sour"" kind of ""bi-polar"" people in your life... cuz my life... is FULL of them... :("
624530121282564096,Fri Jul 24 10:42:38 +0000 2015,VJPalima,1168445839,en,,@aysegul_k pleasse :(
624530118992461824,Fri Jul 24 10:42:38 +0000 2015,SNSD9rks,1500466297,en,,@SexyKalamo im not sure tho :(
624530118132633600,Fri Jul 24 10:42:38 +0000 2015,DoodleCraftie,2546312254,en,,"I feel stupid
I just can't seem to grasp the basics of digital painting and nothing I've been researching is helping any :("
624530117981769728,Fri Jul 24 10:42:37 +0000 2015,Briesias,28790198,en,,Good Lord. :( https://t.co/nC9LkYUUvO
624530114202718208,Fri Jul 24 10:42:37 +0000 2015,MLP_Nightfury,1198923146,en,,"I feel lonely someone talk to me guys and girls :(

@TheOnlyRazzYT @imarieuda @EiroZPegasus @AMYSQUEE @UdotV"
624530113430880257,Fri Jul 24 10:42:36 +0000 2015,PrincessEya21,3004887032,en,,"No Assignment, but we have Project. :( really? 😩"
624530111006658560,Fri Jul 24 10:42:36 +0000 2015,IchBinDanni,427641105,en,,just want to play video games/watch movies with someone :(
624530109114912768,Fri Jul 24 10:42:35 +0000 2015,youngjivpn,2556637332,en,,choreographing is hard : (
